Entities,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,LCOM1,LCOM2,LCOM5,MFA,MOA,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,WMC,WMC1,cohesionAttributes,connectivity
org.eclipse.jface.text.ILineTracker,0,0,0,11.37974684,0,0,0,0,12,2,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,12,45,12,12,12,0,0,0,1,3,27,12,0,12,3,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,19,12,0,0
org.eclipse.ui.IActionBars,0,0,0,1.139622642,0,0,0,0,7,2,28,0,1,0,4,0,1468,14,96,0,0,0,0,0,0,0,0,7,91,7,7,7,0,0,0,2,5,50,7,0,7,2,26,26,0.786885246,185,0.213114754,0.953608247,1,136,0,14,7,0,0
org.eclipse.team.internal.core.simpleAccess.SimpleAccessOperations,0,0,0,11.58897243,0,0,0,0,9,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,9,1,9,9,9,0,0,0,0,0,26,9,0,0,3,0,0,0,0,0,0,0,0,0,25,9,0,0
org.eclipse.help.internal.webapp.servlet.IFilter,0,0,0,11.73474801,0,0,0,0,1,1,11,0,0,0,0,0,557,11,3,0,0,0,0,0,0,0,0,1,12,1,1,1,0,0,0,2,2,23,1,0,1,2,1,5,0.75,40,0.25,0.769230769,0.555555556,15,0,4,1,0,0
org.eclipse.jface.text.IPositionUpdater,0,0,0,12.01265823,0,0,0,0,1,2,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,1,45,1,1,1,0,0,0,1,4,27,1,0,1,1,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,2,1,0,0
org.eclipse.pde.internal.ui.IHelpContextIds,0,0,0,1.207920792,0,0,0,0,0,0,31,0,0,0,0,0,1546,6,3,0,0,0,0,0,0,82,82,0,8,0,0,0,0,0,0,0,0,34,0,0,0,0,2,17,0.6,311,0.4,0.99044586,0.928571429,39,0,0,0,NaN,0
org.eclipse.swt.ole.win32.OleListener,0,0,0,1.216802168,0,0,0,0,1,0,30,0,0,0,0,0,890,13,0,0,0,0,0,0,0,0,0,1,15,1,1,1,0,0,0,0,0,41,1,0,0,1,1,26,0,482,1,0.894248609,0.898214286,503,0,2,1,0,0
org.eclipse.swt.custom.CTabFolderListener,0,0,0,1.216802168,0,0,0,0,1,1,20,0,0,0,0,0,890,41,0,0,0,0,0,0,0,0,0,1,47,1,1,1,0,0,0,1,1,41,1,0,1,1,6,23,0,357,1,0.632978723,0.799807507,831,0,2,1,0,0
org.eclipse.swt.widgets.Listener,0,0,0,1.216802168,0,0,0,0,1,2,29,0,0,0,0,0,890,12,26,0,0,0,0,0,0,0,0,1,50,1,1,1,0,0,0,1,3,41,1,0,1,1,9,23,0.742857143,775,0.257142857,0.504885993,0.831383345,3624,0,2,1,0,0
org.eclipse.swt.custom.StyledTextContent,0,0,0,1.216802168,0,0,0,0,11,1,20,0,1,0,1,0,890,41,0,0,0,0,0,0,0,0,0,11,47,11,11,11,0,0,0,2,2,41,11,0,11,3,6,23,0,357,1,0.632978723,0.799807507,831,0,18,11,0,0
org.eclipse.swt.graphics.Drawable,0,0,0,1.216802168,0,0,0,0,2,7,27,0,0,0,0,0,890,23,4,0,0,0,0,0,0,0,0,2,20,2,2,2,0,0,0,3,38,41,2,0,2,2,1,25,0.8,757,0.2,0.870114943,0.841958042,602,0,4,2,0,0
org.eclipse.jface.text.IRegion,0,0,0,12.41518987,0,0,0,0,2,2,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,2,45,2,2,2,0,0,0,3,5,27,2,0,2,0,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,2,2,0,0
org.eclipse.jdt.debug.ui.IJavaDebugUIConstants,0,0,0,1.242372881,0,8,7,1,0,0,12,0,0,8,0,0,1177,3,0,0,0,0,0,0,1,8,8,1,3,1,1,1,0,0,0,0,0,30,1,0,0,0,0,12,0,42,0,1,1,55,0,17,1,0.625,0
org.eclipse.update.core.IContentConsumer,0,0,0,12.45180723,0,0,0,0,2,2,19,0,2,0,2,0,662,57,17,0,0,0,0,0,0,0,0,2,51,2,2,2,0,0,0,1,5,31,2,0,2,2,23,15,0.425,257,0.575,0.76035503,0.726973684,221,0,4,2,0,0
org.eclipse.jface.text.ISlaveDocumentManager,0,0,0,12.65063291,0,0,0,0,6,1,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,6,45,6,6,6,0,0,0,2,2,27,6,0,6,2,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,15,6,0,0
org.eclipse.jface.text.ITextStore,0,0,0,12.96962025,0,0,0,0,5,1,1,0,1,0,1,0,540,18,4,0,0,0,0,0,0,0,0,5,45,5,5,5,0,0,0,4,4,27,5,0,5,3,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,8,5,0,0
org.eclipse.jface.viewers.IBasicPropertyConstants,0,0,0,1.302912621,0,0,0,0,0,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,4,4,0,62,0,0,0,0,0,0,0,0,34,0,0,0,0,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,0,0,NaN,0
org.eclipse.jface.util.IOpenEventListener,0,0,0,1.302912621,0,0,0,0,1,0,17,0,0,0,0,0,760,7,4,0,0,0,0,0,0,0,0,1,7,1,1,1,0,0,0,0,0,34,1,0,0,1,0,9,1,106,0,0.972477064,0.888888889,24,0,2,1,0,0
org.eclipse.jface.dialogs.IInputValidator,0,0,0,1.302912621,0,0,0,0,1,0,18,0,0,0,0,0,760,6,6,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,34,1,0,0,1,5,20,0.545454545,168,0.454545455,0.770642202,0.746192893,147,0,3,1,0,0
org.eclipse.jface.operation.IRunnableWithProgress,0,0,0,1.302912621,0,0,0,0,1,0,2,0,0,0,0,0,760,2,3,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,34,1,0,0,1,0,3,1,2,0,1,1,6,0,2,1,0,0
org.eclipse.jface.action.IMenuListener,0,0,0,1.302912621,0,0,0,0,1,0,24,0,0,0,0,0,760,8,0,0,0,0,0,0,0,0,0,1,27,1,1,1,0,0,0,0,0,34,1,0,0,1,10,17,0,261,1,0.855737705,0.723529412,123,0,2,1,0,0
org.eclipse.jface.viewers.ICheckStateListener,0,0,0,1.302912621,0,0,0,0,1,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,0,0,34,1,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,2,1,0,0
org.eclipse.jface.viewers.IDoubleClickListener,0,0,0,1.302912621,0,0,0,0,1,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,0,0,34,1,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,2,1,0,0
org.eclipse.jface.viewers.ILabelProviderListener,0,0,0,1.302912621,0,0,0,0,1,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,0,0,34,1,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,2,1,0,0
org.eclipse.jface.viewers.IOpenListener,0,0,0,1.302912621,0,0,0,0,1,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,0,0,34,1,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,2,1,0,0
org.eclipse.jface.viewers.ISelectionChangedListener,0,0,0,1.302912621,0,0,0,0,1,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,0,0,34,1,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,2,1,0,0
org.eclipse.jface.viewers.ICellEditorValidator,0,0,0,1.302912621,0,0,0,0,1,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,0,0,34,1,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,3,1,0,0
org.eclipse.jface.viewers.ISelection,0,0,0,1.302912621,0,0,0,0,1,2,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,1,2,34,1,0,1,0,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,1,1,0,0
org.eclipse.jface.operation.IRunnableContext,0,0,0,1.302912621,0,0,0,0,1,4,2,0,0,0,0,0,760,2,3,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,3,4,34,1,0,1,3,0,3,1,2,0,1,1,6,0,2,1,0,0
org.eclipse.jface.viewers.IInputProvider,0,0,0,1.302912621,0,0,0,0,1,7,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,1,62,1,1,1,0,0,0,1,11,34,1,0,1,0,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,2,1,0,0
org.eclipse.jface.preference.IPreferenceNode,0,0,0,1.302912621,0,0,0,0,11,1,24,0,0,0,0,0,760,11,0,0,0,0,0,0,0,0,0,11,26,11,11,11,0,0,0,1,1,34,11,0,11,1,10,19,0,259,1,0.830128205,0.732323232,145,0,22,11,0,0
org.eclipse.jface.dialogs.IDialogPage,0,0,0,1.302912621,0,0,0,0,13,3,18,0,0,0,0,0,760,6,6,0,0,0,0,0,0,0,0,13,16,13,13,13,0,0,0,3,11,34,13,0,13,1,5,20,0.545454545,168,0.454545455,0.770642202,0.746192893,147,0,23,13,0,0
org.eclipse.jface.action.IContributionItem,0,0,0,1.302912621,0,0,0,0,15,3,24,0,1,0,2,0,760,8,0,0,0,0,0,0,0,0,0,15,27,15,15,15,0,0,0,3,10,34,15,0,15,2,10,17,0,261,1,0.855737705,0.723529412,123,0,21,15,0,0
org.eclipse.jface.viewers.ITreeViewerListener,0,0,0,1.302912621,0,0,0,0,2,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,2,62,2,2,2,0,0,0,0,0,34,2,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,4,2,0,0
org.eclipse.jface.viewers.IColorProvider,0,0,0,1.302912621,0,0,0,0,2,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,2,62,2,2,2,0,0,0,0,0,34,2,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,6,2,0,0
org.eclipse.jface.viewers.IElementComparer,0,0,0,1.302912621,0,0,0,0,2,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,2,62,2,2,2,0,0,0,0,0,34,2,0,0,2,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,5,2,0,0
org.eclipse.jface.action.IContributionManager,0,0,0,1.302912621,0,0,0,0,20,2,24,0,3,0,1,0,760,8,0,0,0,0,0,0,0,0,0,20,27,20,20,20,0,0,0,5,17,34,20,0,20,2,10,17,0,261,1,0.855737705,0.723529412,123,0,46,20,0,0
org.eclipse.jface.viewers.IContentProvider,0,0,0,1.302912621,0,0,0,0,2,2,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,2,62,2,2,2,0,0,0,1,3,34,2,0,2,3,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,5,2,0,0
org.eclipse.jface.dialogs.IMessageProvider,0,0,0,1.302912621,0,0,0,0,2,3,18,0,0,0,0,0,760,6,6,0,0,0,0,0,4,4,4,2,16,2,2,2,0,0,0,1,5,34,2,0,2,0,5,20,0.545454545,168,0.454545455,0.770642202,0.746192893,147,0,3,2,0,0
org.eclipse.jface.wizard.IWizard,0,0,0,1.302912621,0,0,0,0,21,1,21,0,0,0,0,0,760,7,0,0,0,0,0,0,0,0,0,21,9,21,21,21,0,0,0,1,1,34,21,0,21,1,4,17,0,60,1,0.9375,0.93220339,55,0,36,21,0,0
org.eclipse.jface.dialogs.IDialogSettings,0,0,0,1.302912621,0,0,0,0,23,1,18,0,0,0,0,0,760,6,6,0,0,0,0,0,0,0,0,23,16,23,23,23,0,0,0,1,1,34,23,0,23,2,5,20,0.545454545,168,0.454545455,0.770642202,0.746192893,147,0,52,23,0,0
org.eclipse.jface.action.IMenuCreator,0,0,0,1.302912621,0,0,0,0,3,0,24,0,0,0,0,0,760,8,0,0,0,0,0,0,0,0,0,3,27,3,3,3,0,0,0,0,0,34,3,0,0,1,10,17,0,261,1,0.855737705,0.723529412,123,0,7,3,0,0
org.eclipse.jface.viewers.IDecoration,0,0,0,1.302912621,0,0,0,0,3,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,3,62,3,3,3,0,0,0,0,0,34,3,0,0,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,6,3,0,0
org.eclipse.jface.viewers.ICellEditorListener,0,0,0,1.302912621,0,0,0,0,3,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,3,62,3,3,3,0,0,0,0,0,34,3,0,0,2,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,3,3,0,0
org.eclipse.jface.viewers.ICellModifier,0,0,0,1.302912621,0,0,0,0,3,0,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,3,62,3,3,3,0,0,0,0,0,34,3,0,0,3,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,11,3,0,0
org.eclipse.jface.action.IAction,0,0,0,1.302912621,0,0,0,0,31,1,24,0,0,0,0,0,760,8,0,0,0,0,0,0,5,11,11,31,27,31,31,31,0,0,0,1,1,34,31,0,31,1,10,17,0,261,1,0.855737705,0.723529412,123,0,54,31,0,0
org.eclipse.jface.wizard.IWizardNode,0,0,0,1.302912621,0,0,0,0,4,0,21,0,0,0,0,0,760,7,0,0,0,0,0,0,0,0,0,4,9,4,4,4,0,0,0,0,0,34,4,0,0,0,4,17,0,60,1,0.9375,0.93220339,55,0,6,4,0,0
org.eclipse.jface.action.IContributionManagerOverrides,0,0,0,1.302912621,0,0,0,0,4,0,24,0,0,0,0,0,760,8,0,0,0,0,0,0,0,1,1,4,27,4,4,4,0,0,0,0,0,34,4,0,0,1,10,17,0,261,1,0.855737705,0.723529412,123,0,12,4,0,0
org.eclipse.jface.preference.IPreferencePageContainer,0,0,0,1.302912621,0,0,0,0,4,3,24,0,0,0,0,0,760,11,0,0,0,0,0,0,0,0,0,4,26,4,4,4,0,0,0,1,1,34,4,0,4,0,10,19,0,259,1,0.830128205,0.732323232,145,0,5,4,0,0
org.eclipse.jface.viewers.IBaseLabelProvider,0,0,0,1.302912621,0,0,0,0,4,3,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,4,62,4,4,4,0,0,0,4,7,34,4,0,4,2,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,8,4,0,0
org.eclipse.jface.viewers.ISelectionProvider,0,0,0,1.302912621,0,0,0,0,4,7,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,4,62,4,4,4,0,0,0,1,11,34,4,0,4,1,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,8,4,0,0
org.eclipse.jface.viewers.ICheckable,0,0,0,1.302912621,0,0,0,0,4,7,25,0,0,0,0,0,760,18,1,0,0,0,0,0,0,0,0,4,62,4,4,4,0,0,0,2,2,34,4,0,4,2,20,19,0.047619048,295,0.952380952,0.743073048,0.644787645,167,0,8,4,0,0
org.eclipse.jface.preference.IPreferenceStore,0,0,0,1.302912621,0,16,24,0,32,2,24,0,0,16,0,0,760,11,0,0,0,0,0,0,5,8,8,32,26,32,32,32,0,0,0,1,2,34,32,0,32,3,10,19,0,259,1,0.830128205,0.732323232,145,0,70,32,0,0
org.eclipse.jface.dialogs.IDialogConstants,0,0,0,1.302912621,0,8,27,20,0,0,18,0,0,8,0,0,760,6,6,0,0,0,0,0,37,57,57,1,16,1,1,1,0,0,0,0,0,34,1,0,0,0,5,20,0.545454545,168,0.454545455,0.770642202,0.746192893,147,0,41,1,0.350877193,0
org.eclipse.debug.core.model.IDisconnect,0,0,0,13.22650602,0,0,0,0,3,2,20,0,0,0,0,0,568,5,5,0,0,0,0,0,0,0,0,3,28,3,3,3,0,0,0,2,2,21,3,0,3,0,13,3,0.277777778,1,0.722222222,1,1,5,0,3,3,0,0
org.eclipse.update.core.IFeatureContentConsumer,0,0,0,13.69076305,0,0,0,0,11,4,19,0,1,0,0,0,662,57,17,0,0,0,0,0,0,0,0,11,51,11,11,11,0,0,0,1,2,31,11,0,11,2,23,15,0.425,257,0.575,0.76035503,0.726973684,221,0,24,11,0,0
org.eclipse.ui.views.navigator.INavigatorHelpContextIds,0,0,0,1.371794872,0,0,0,0,0,0,21,0,0,0,0,0,833,23,0,0,0,0,0,0,0,12,12,0,32,0,0,0,0,0,0,0,0,25,0,0,0,0,3,16,0,242,1,0.711764706,0.61130742,173,0,0,0,NaN,0
org.eclipse.ui.views.bookmarkexplorer.IBookmarkHelpContextIds,0,0,0,1.371794872,0,0,0,0,0,0,22,0,0,0,0,0,833,12,0,0,0,0,0,0,0,15,15,0,15,0,0,0,0,0,0,0,0,25,0,0,0,0,1,19,0,156,1,0.834224599,0.728070175,83,0,0,0,NaN,0
org.eclipse.ui.views.properties.IPropertiesHelpContextIds,0,0,0,1.371794872,0,0,0,0,0,0,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,6,6,0,28,0,0,0,0,0,0,0,0,25,0,0,0,0,7,19,0,240,1,0.845070423,0.785365854,161,0,0,0,NaN,0
org.eclipse.ui.views.tasklist.ITaskListHelpContextIds,0,0,0,1.371794872,0,0,0,0,0,0,23,0,0,0,0,0,833,15,0,0,0,0,0,0,0,25,25,0,26,0,0,0,0,0,0,0,0,25,0,0,0,0,3,21,0,218,1,0.764912281,0.69266055,151,0,0,0,NaN,0
org.eclipse.ui.views.framelist.IFrameListHelpContextIds,0,0,0,1.371794872,0,0,0,0,0,0,23,0,0,0,0,0,833,5,1,0,0,0,0,0,0,5,5,0,12,0,0,0,0,0,0,0,0,25,0,0,0,0,3,19,0.25,157,0.75,0.872222222,0.783018868,83,0,0,0,NaN,0
org.eclipse.ui.views.tasklist.IMarkerConstants,0,0,0,1.371794872,0,0,0,0,0,1,23,0,0,0,0,0,833,15,0,0,0,0,0,0,0,6,6,0,26,0,0,0,0,0,0,1,1,25,0,0,0,0,3,21,0,218,1,0.764912281,0.69266055,151,0,0,0,NaN,0
org.eclipse.ui.views.properties.IPropertySourceProvider,0,0,0,1.371794872,0,0,0,0,1,0,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,0,0,1,28,1,1,1,0,0,0,0,0,25,1,0,0,1,7,19,0,240,1,0.845070423,0.785365854,161,0,3,1,0,0
org.eclipse.ui.views.tasklist.ITaskListResourceAdapter,0,0,0,1.371794872,0,0,0,0,1,1,23,0,1,0,0,0,833,15,0,0,0,0,0,0,0,0,0,1,26,1,1,1,0,0,0,1,1,25,1,0,1,1,3,21,0,218,1,0.764912281,0.69266055,151,0,3,1,0,0
org.eclipse.ui.views.framelist.IFrameSource,0,0,0,1.371794872,0,0,0,0,1,2,23,0,0,0,0,0,833,5,1,0,0,0,0,0,4,4,4,1,12,1,1,1,0,0,0,1,2,25,1,0,1,2,3,19,0.25,157,0.75,0.872222222,0.783018868,83,0,2,1,0,0
org.eclipse.ui.views.properties.IPropertySheetEntry,0,0,0,1.371794872,0,0,0,0,17,1,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,1,1,17,28,17,17,17,0,0,0,1,1,25,17,0,17,1,7,19,0,240,1,0.845070423,0.785365854,161,0,31,17,0,0
org.eclipse.ui.views.properties.ICellEditorActivationListener,0,0,0,1.371794872,0,0,0,0,2,0,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,0,0,2,28,2,2,2,0,0,0,0,0,25,2,0,0,1,7,19,0,240,1,0.845070423,0.785365854,161,0,4,2,0,0
org.eclipse.ui.views.properties.IPropertySheetEntryListener,0,0,0,1.371794872,0,0,0,0,3,0,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,0,0,3,28,3,3,3,0,0,0,0,0,25,3,0,0,1,7,19,0,240,1,0.845070423,0.785365854,161,0,6,3,0,0
org.eclipse.ui.views.properties.IPropertySource,0,0,0,1.371794872,0,0,0,0,6,2,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,0,0,6,28,6,6,6,0,0,0,1,2,25,6,0,6,2,7,19,0,240,1,0.845070423,0.785365854,161,0,14,6,0,0
org.eclipse.ui.views.properties.IPropertyDescriptor,0,0,0,1.371794872,0,0,0,0,9,2,22,0,0,0,0,0,833,16,0,0,0,0,0,0,0,0,0,9,28,9,9,9,0,0,0,1,4,25,9,0,9,1,7,19,0,240,1,0.845070423,0.785365854,161,0,19,9,0,0
org.eclipse.ui.views.properties.IResourcePropertyConstants,0,0,0,1.371794872,0,2,32,10,0,0,22,0,0,3,0,0,833,16,0,0,0,0,0,0,0,18,18,1,28,1,1,1,0,0,0,0,0,25,1,0,0,0,7,19,0,240,1,0.845070423,0.785365854,161,0,21,1,0.555555556,0
org.eclipse.core.internal.resources.IModelObjectConstants,0,0,0,1.389261745,0,0,0,0,0,1,44,0,0,0,0,0,1016,76,7,0,0,0,0,0,0,27,27,0,70,0,0,0,0,0,0,3,3,36,0,0,0,0,14,31,0.333333333,684,0.666666667,0.503311258,0.531165312,784,0,0,0,NaN,0
org.eclipse.core.resources.IResourceDeltaVisitor,0,0,0,1.389261745,0,0,0,0,1,0,11,0,0,0,0,0,1016,19,24,0,0,0,0,0,0,0,0,1,36,1,1,1,0,0,0,0,0,36,1,0,0,1,3,14,0.888888889,83,0.111111111,0.976470588,1,63,0,2,1,0,0
org.eclipse.core.resources.IResourceProxyVisitor,0,0,0,1.389261745,0,0,0,0,1,0,11,0,0,0,0,0,1016,19,24,0,0,0,0,0,0,0,0,1,36,1,1,1,0,0,0,0,0,36,1,0,0,1,3,14,0.888888889,83,0.111111111,0.976470588,1,63,0,2,1,0,0
org.eclipse.core.resources.IResourceVisitor,0,0,0,1.389261745,0,0,0,0,1,0,11,0,0,0,0,0,1016,19,24,0,0,0,0,0,0,0,0,1,36,1,1,1,0,0,0,0,0,36,1,0,0,1,3,14,0.888888889,83,0.111111111,0.976470588,1,63,0,2,1,0,0
org.eclipse.core.resources.IWorkspaceRunnable,0,0,0,1.389261745,0,0,0,0,1,0,11,0,0,0,0,0,1016,19,24,0,0,0,0,0,0,0,0,1,36,1,1,1,0,0,0,0,0,36,1,0,0,1,3,14,0.888888889,83,0.111111111,0.976470588,1,63,0,2,1,0,0
org.eclipse.core.internal.watson.IElementContentVisitor,0,0,0,1.389261745,0,0,0,0,1,0,12,0,0,0,0,0,1016,11,4,0,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,0,0,36,1,0,0,3,3,12,0.571428571,74,0.428571429,0.840909091,0.787878788,52,0,4,1,0,0
org.eclipse.core.internal.watson.IDeltaVisitor,0,0,0,1.389261745,0,0,0,0,1,0,12,0,0,0,0,0,1016,11,4,0,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,0,0,36,1,0,0,5,3,12,0.571428571,74,0.428571429,0.840909091,0.787878788,52,0,5,1,0,0
org.eclipse.core.boot.IPlatformRunnable,0,0,0,1.389261745,0,0,0,0,1,0,3,0,0,0,0,0,1016,1,1,0,0,0,0,0,0,2,2,2,3,2,2,2,0,0,0,0,0,36,2,0,0,1,0,1,1,8,0,1,1,1,0,8,2,0.5,0
org.eclipse.core.internal.plugins.IPluginVisitor,0,0,0,1.389261745,0,0,0,0,1,0,31,0,0,0,0,0,1016,25,0,0,0,0,0,0,0,0,0,1,20,1,1,1,0,0,0,0,0,36,1,0,0,1,1,19,0,145,1,0.852941176,0.906716418,243,0,2,1,0,0
