ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
0.0,1.0,1.0,1.1089449541284404,1.0,34.0,18.0,16.0,16.0,0.0,4.0,0.0,0.0,34.0,0.0,1.0,1036.0,1.0,1.0,0.0,-7.0,240.0,104.0,1.0666666666666667,0.2916666666666667,0.0,0.0,13.0,13.0,24.0,3.0,17.0,17.0,17.0,7.0,0.0,1.0,0.0,0.0,61.0,17.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,74.0,17.0,0.0,1.0,org.eclipse.core.boot.BootLoader
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,61.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,12.0,5.0,0.0,0.0,org.eclipse.core.boot.IInstallInfo
0.0,0.0,0.0,1.1089449541284404,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,org.eclipse.core.boot.IPlatformRunnable
1.0,0.0,1.0,1.1089449541284404,0.9999999999999997,674.0,264.0,652.0,6.0,1.0,31.0,0.29411764705882354,0.0,674.0,1.0,1.0,1036.0,11.0,4.0,180.0,-3.0,1368.0,548.0,0.9825119235225626,0.046511627906976744,8.0,0.0,17.0,20.0,43.0,15.0,39.0,41.0,54.0,2.0,2.0,1.0,2.0,2.0,61.0,41.0,1.0,3.0,6.0,40.0,24.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.04878048780487805,1.0,821.0,41.0,0.12769010043041606,1.0,org.eclipse.core.internal.boot.DelegatingURLClassLoader
0.0,1.0,1.0,1.1089449541284404,0.9999999999999998,726.0,444.0,534.0,19.0,0.0,31.0,0.9142857142857143,0.0,726.0,0.0,1.0,1036.0,11.0,4.0,95.0,-7.0,1244.0,541.0,1.0204081632196904,0.15555555555555556,7.0,0.0,70.0,70.0,45.0,15.0,38.0,38.0,38.0,7.0,0.0,1.0,0.0,0.0,61.0,38.0,1.0,0.0,4.0,7.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.0,1.0,1114.0,38.0,0.05338345864661654,1.0,org.eclipse.core.internal.boot.InternalBootLoader
0.0,0.0,1.0,1.1089449541284404,1.0000000000000009,1619.0,799.0,1586.0,48.0,0.0,31.0,0.9680851063829787,0.0,1619.0,0.0,1.0,1036.0,11.0,4.0,522.0,-2.0,10010.0,4232.0,0.9911347523642083,0.06086956521739131,7.0,0.0,94.0,101.0,115.0,15.0,103.0,108.0,127.0,7.0,5.0,2.0,0.0,0.0,61.0,108.0,2.0,0.0,4.0,6.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.045454545454545456,1.0,2716.0,108.0,0.039204097714736014,0.0,org.eclipse.core.internal.boot.LaunchInfo
0.0,1.0,2.0,1.1089449541284404,1.0,32.0,24.0,12.0,3.0,0.0,31.0,1.0,0.0,32.0,0.0,2.0,1036.0,11.0,4.0,0.0,138.0,12.0,0.0,1.3333333333333333,0.8333333333333334,1.0,0.0,1.0,1.0,36.0,15.0,4.0,6.0,6.0,30.0,2.0,2.0,0.0,0.0,61.0,6.0,1.0,0.0,4.0,2.0,2.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.11764705882352941,1.0,39.0,6.0,0.06481481481481481,2.0,org.eclipse.core.internal.boot.PlatformClassLoader
0.0,0.0,2.0,1.1089449541284404,1.0,38.0,9.0,29.0,2.0,0.0,31.0,0.25,0.0,38.0,0.0,2.0,1036.0,11.0,4.0,0.0,7.0,6.0,0.0,1.5,0.7777777777777778,0.0,0.0,4.0,4.0,18.0,15.0,2.0,4.0,4.0,14.0,2.0,2.0,0.0,0.0,61.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.23529411764705882,1.0,52.0,4.0,0.07407407407407407,3.0,org.eclipse.core.internal.boot.PlatformURLBaseConnection
0.0,0.0,2.0,1.1089449541284404,1.0,38.0,9.0,29.0,2.0,0.0,31.0,0.4,0.0,38.0,0.0,2.0,1036.0,11.0,4.0,0.0,7.0,6.0,0.0,1.5,0.7777777777777778,0.0,0.0,5.0,5.0,18.0,15.0,2.0,4.0,4.0,14.0,2.0,2.0,0.0,0.0,61.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.23529411764705882,1.0,80.0,4.0,0.07142857142857142,3.0,org.eclipse.core.internal.boot.PlatformURLComponentConnection
0.0,0.0,2.0,1.1089449541284404,1.0,38.0,9.0,29.0,2.0,0.0,31.0,0.4,0.0,38.0,0.0,2.0,1036.0,11.0,4.0,0.0,7.0,6.0,0.0,1.5,0.7777777777777778,0.0,0.0,5.0,5.0,18.0,15.0,2.0,4.0,4.0,14.0,2.0,2.0,0.0,0.0,61.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.23529411764705882,1.0,80.0,4.0,0.07142857142857142,3.0,org.eclipse.core.internal.boot.PlatformURLConfigurationConnection
1.0,0.0,1.0,1.1089449541284404,0.9999999999999999,411.0,195.0,368.0,4.0,1.0,31.0,0.8095238095238095,0.0,411.0,0.0,1.0,1036.0,11.0,4.0,38.0,-5.0,326.0,116.0,0.9973544962704182,0.16,7.0,0.0,21.0,21.0,25.0,15.0,20.0,21.0,21.0,4.0,1.0,1.0,6.0,6.0,61.0,21.0,1.0,2.0,1.0,1.0,6.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.043478260869565216,1.0,678.0,21.0,0.21739130434782608,1.0,org.eclipse.core.internal.boot.PlatformURLConnection
0.0,0.0,1.0,1.1089449541284404,1.0,66.0,20.0,50.0,1.0,0.0,31.0,0.125,0.0,66.0,0.0,1.0,1036.0,11.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,8.0,4.0,15.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,61.0,4.0,1.0,0.0,2.0,1.0,2.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.0,1.0,62.0,4.0,0.125,0.0,org.eclipse.core.internal.boot.PlatformURLHandler
0.0,1.0,1.0,1.1089449541284404,1.0,30.0,16.0,18.0,5.0,0.0,31.0,1.0,0.0,30.0,0.0,1.0,1036.0,11.0,4.0,0.0,-7.0,12.0,0.0,1.3333333333333333,0.5384615384615384,0.0,0.0,1.0,1.0,13.0,15.0,5.0,6.0,6.0,7.0,1.0,2.0,0.0,0.0,61.0,6.0,2.0,0.0,2.0,1.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.09090909090909091,1.0,51.0,6.0,1.0,2.0,org.eclipse.core.internal.boot.PlatformURLHandlerFactory
0.0,0.0,1.0,1.1089449541284404,1.0,4.0,4.0,8.0,1.0,0.0,31.0,1.0,0.0,4.0,0.0,1.0,1036.0,11.0,4.0,0.0,-7.0,12.0,0.0,1.0,0.5384615384615384,2.0,0.0,2.0,2.0,13.0,15.0,5.0,6.0,6.0,7.0,1.0,2.0,0.0,0.0,61.0,6.0,2.0,0.0,1.0,1.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.09090909090909091,1.0,24.0,6.0,0.75,1.0,org.eclipse.core.internal.boot.PlatformURLHandlerFactoryProxy
0.0,0.0,1.0,1.1089449541284404,1.0,36.0,22.0,16.0,6.0,0.0,31.0,1.0,0.0,36.0,0.0,1.0,1036.0,11.0,4.0,10.0,-7.0,20.0,0.0,1.125,0.5,0.0,0.0,2.0,2.0,14.0,15.0,7.0,7.0,7.0,7.0,0.0,1.0,0.0,0.0,61.0,7.0,1.0,0.0,3.0,0.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.0,1.0,96.0,7.0,0.35714285714285715,1.0,org.eclipse.core.internal.boot.Policy
1.0,2.0,1.0,1.1089449541284404,1.0,201.0,170.0,65.0,4.0,0.0,31.0,1.0,0.0,201.0,0.0,1.0,1036.0,11.0,4.0,2.0,-7.0,12.0,2.0,1.0555555472771327,0.5833333333333334,3.0,0.0,6.0,6.0,12.0,15.0,3.0,5.0,5.0,7.0,2.0,2.0,0.0,0.0,61.0,5.0,2.0,0.0,4.0,2.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.18181818181818182,1.0,47.0,5.0,0.8,2.0,org.eclipse.core.internal.boot.ResourceEnumeration
0.0,0.0,1.0,1.1089449541284404,1.0,33.0,6.0,27.0,1.0,0.0,31.0,0.0,0.0,33.0,0.0,1.0,1036.0,11.0,4.0,0.0,-3.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,6.0,15.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,61.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.2,1.0,11.0,3.0,0.0,0.0,org.eclipse.core.internal.boot.ResourceLoader
0.0,0.0,1.0,1.1089449541284404,1.0,128.0,48.0,128.0,3.0,0.0,31.0,1.0,0.0,128.0,0.0,1.0,1036.0,11.0,4.0,10.0,-6.0,12.0,0.0,0.8333333233992258,0.4,2.0,0.0,3.0,3.0,15.0,15.0,8.0,9.0,9.0,6.0,1.0,1.0,0.0,0.0,61.0,9.0,1.0,0.0,3.0,0.0,0.0,2.0,158.0,0.6666666666666666,263.0,0.3333333333333333,0.8270440251572327,0.7417840375586855,158.0,0.07692307692307693,1.0,105.0,9.0,0.8888888888888888,0.0,org.eclipse.core.internal.boot.URLContentFilter
0.0,0.0,1.0,1.1089449541284404,1.0,4.0,7.0,5.0,3.0,0.0,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
0.0,1.0,1.0,1.1089449541284404,1.0,34.0,18.0,16.0,16.0,0.0,4.0,0.0,0.0,34.0,0.0,1.0,1036.0,1.0,1.0,0.0,-7.0,240.0,104.0,1.0666666666666667,0.2916666666666667,0.0,0.0,13.0,13.0,24.0,3.0,17.0,17.0,17.0,7.0,0.0,1.0,0.0,0.0,61.0,17.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,74.0,17.0,0.0,1.0,org.eclipse.core.boot.BootLoader
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,61.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,12.0,5.0,0.0,0.0,org.eclipse.core.boot.IInstallInfo
0.0,0.0,0.0,1.1089449541284404,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,org.eclipse.core.boot.IPlatformRunnable
1.0,0.0,1.0,1.1089449541284404,0.9999999999999997,674.0,264.0,652.0,6.0,1.0,31.0,0.29411764705882354,0.0,674.0,1.0,1.0,1036.0,11.0,4.0,180.0,-3.0,1368.0,548.0,0.9825119235225626,0.046511627906976744,8.0,0.0,17.0,20.0,43.0,15.0,39.0,41.0,54.0,2.0,2.0,1.0,2.0,2.0,61.0,41.0,1.0,3.0,6.0,40.0,24.0,2.0,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
0.0,1.0,1.0,1.1089449541284404,1.0,34.0,18.0,16.0,16.0,0.0,4.0,0.0,0.0,34.0,0.0,1.0,1036.0,1.0,1.0,0.0,-7.0,240.0,104.0,1.0666666666666667,0.2916666666666667,0.0,0.0,13.0,13.0,24.0,3.0,17.0,17.0,17.0,7.0,0.0,1.0,0.0,0.0,61.0,17.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,74.0,17.0,0.0,1.0,org.eclipse.core.boot.BootLoader
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,61.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,12.0,5.0,0.0,0.0,org.eclipse.core.boot.IInstallInfo
0.0,0.0,0.0,1.1089449541284404,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,org.eclipse.core.boot.IPlatformRunnable
1.0,0.0,1.0,1.1089449541284404,0.9999999999999997,
