Effectiveness,Extendibility,Flexibility,Functionality,Reusability,Understandability,Entities
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.XmlCleaner
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.AssignmentEvent
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.AttachmentEvent
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.AttachmentFlag
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.AttachmentFlagState
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.AttachmentFlagStatus
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.BugzillaTaskHistoryParser
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.ResolutionEvent
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.ResolutionType
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.StatusEvent
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.StatusType
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.TaskHistory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.history.TaskRevision
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ide.StackTraceDuplicateDetector
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ide.actions.NewTaskFromErrorAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.BugzillaAuthenticator
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.BugzillaCompareInput
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.BugzillaCompareNode
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.BugzillaCompareStructureCreator
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.BugzillaImages
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.BugzillaUiPlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.editor.BugzillaTaskEditor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.editor.DummySearchHitProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.editor.NewBugzillaTaskEditor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.search.BugzillaSearchPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.search.BugzillaSeveritySearchSorter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.search.BugzillaStateSearchSorter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.search.IBugzillaResultEditorMatchAdapter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaConnectorUi
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaCustomQueryDialog
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaCustomQueryWizardPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaQueryTypeWizardPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaRepositorySettingsPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaTaskEditorFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaTaskEditorInput
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.BugzillaTaskListFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.EditBugzillaQueryWizard
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.NewBugzillaQueryWizard
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.tasklist.StackTrace
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.wizard.BugzillaProductPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.ui.wizard.NewBugzillaTaskWizard
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.compatibility.JavaRuntimeVersionChecker
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.CompositeContextElement
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.CompositeDegreeOfInterest
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.CompositeInteractionContext
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.ContextPreferenceContstants
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.DegreeOfInterest
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.DegreeOfSeparation
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.IActiveSearchListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.IActiveSearchOperation
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.InteractionContext
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.InteractionContextElement
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.InteractionContextExternalizer
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.InteractionContextManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.InteractionContextRelation
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.SaxContextContentHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.SaxContextReader
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.SaxContextWriter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.ScalingFactor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.core.ScalingFactors
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.AbstractContextLabelProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ActiveSearchViewTracker
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ActiveViewSelectionDragAdapter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.BrowseFilteredListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ColorCoordinatesChange
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ColorMap
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ContentOutlineManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ContextPerspectiveManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ContextUiImages
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.ContextUiPrefContstants
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.DoiOrderSorter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.FocusedViewerManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.Highlighter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.HighlighterImageDescriptor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.HighlighterList
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.InterestDecorator
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.InterestDecoratorLightweight
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskContextWorkingSetManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskContextWorkingSetPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskHighlighterMenuContributor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskListInterestFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskListInterestSorter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskStructureBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.TaskUiBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.UiUtil
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.AbstractInterestManipulationAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ContextActiveActionFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ContextAttachAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ContextClearAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ContextCopyAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ContextMenuContributor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ContextRetrieveAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.EditHighlightersAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.FocusOutlineAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.FocusTaskListAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.InterestDecrementAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.InterestIncrementAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.LinkActiveSearchWithEditorAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.OpenPrefsAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.OpenQuickContextPopupDialogAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ShowQualifiedNamesAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.TaskContextAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ToggleDecorateInterestLevelAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.actions.ToggleRelationshipProviderAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.commands.FocusViewHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.editors.ContextEditorFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.editors.ContextEditorFormPage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.editors.ContextEditorInput
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.editors.ScalableInterestFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.preferences.ContextUiPreferencePage
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.ActiveSearchQuickView
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.ActiveSearchView
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.ActiveViewDelegatingDragAdapter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.ActiveViewDropAdapter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.CommonNavigatorFilterBar
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.CommonNavigatorPatternFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.ContextContentProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.ContextNodeOpenListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.DelegatingContextLabelProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.QuickContextPopupDialog
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.context.ui.views.QuickOutlinePatternAndInterestFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.help.ui.actions.ShowMylynLegendAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.help.ui.dialogs.UiLegendDialog
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ant.AntContextLabelProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ant.AntEditingMonitor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ant.AntStructureBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ant.AntUiBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ant.AntUiBridgePlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.IdeUiBridgePlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.IdeUiUtil
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.MarkerInterestFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.MarkerViewLabelProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.MarkerViewerInterestSorter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.actions.AbstractFocusMarkerViewAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.actions.FocusProblemsListAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.actions.FocusProjectExplorerAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.actions.FocusResourceNavigatorAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.actions.FocusTaskMarkersViewAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.ui.actions.OpenRelatedElementsQuickView
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.ide.xml.XmlNodeHelper
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.ActiveFoldingEditorTracker
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.InterestInducingProblemListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.InterestUpdateDeltaListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaContextLabelProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaDebugStructureBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaDeclarationsFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaEditingMonitor
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaStackTraceFileHyperlink
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaStackTraceHyperlinkDetector
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaStructureBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaUiBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaUiBridgePlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.JavaUiUtil
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.LandmarkMarkerManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.TypeHistoryManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.actions.FilterMembersAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.actions.FindReferencesInContextAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.java.ui.actions.FocusBrowsingPerspectiveAction
